,country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol,continent
0,Afghanistan,0,0,0,0.0,Asia
1,Albania,89,132,54,4.9,Europe
2,Algeria,25,0,14,0.7,Africa
3,Andorra,245,138,312,12.4,Europe
4,Angola,217,57,45,5.9,Africa
5,Antigua & Barbuda,102,128,45,4.9,North America
6,Argentina,193,25,221,8.3,South America
7,Armenia,21,179,11,3.8,Europe
8,Australia,261,72,212,10.4,Oceania
9,Austria,279,75,191,9.7,Europe
10,Azerbaijan,21,46,5,1.3,Europe
11,Bahamas,122,176,51,6.3,North America
12,Bahrain,42,63,7,2.0,Asia
13,Bangladesh,0,0,0,0.0,Asia
14,Barbados,143,173,36,6.3,North America
15,Belarus,142,373,42,14.4,Europe
16,Belgium,295,84,212,10.5,Europe
17,Belize,263,114,8,6.8,North America
18,Benin,34,4,13,1.1,Africa
19,Bhutan,23,0,0,0.4,Asia
20,Bolivia,167,41,8,3.8,South America
21,Bosnia-Herzegovina,76,173,8,4.6,Europe
22,Botswana,173,35,35,5.4,Africa
23,Brazil,245,145,16,7.2,South America
24,Brunei,31,2,1,0.6,Asia
25,Bulgaria,231,252,94,10.3,Europe
26,Burkina Faso,25,7,7,4.3,Africa
27,Burundi,88,0,0,6.3,Africa
28,Cote d'Ivoire,37,1,7,4.0,Africa
29,Cabo Verde,144,56,16,4.0,Africa
30,Cambodia,57,65,1,2.2,Asia
31,Cameroon,147,1,4,5.8,Africa
32,Canada,240,122,100,8.2,North America
33,Central African Republic,17,2,1,1.8,Africa
34,Chad,15,1,1,0.4,Africa
35,Chile,130,124,172,7.6,South America
36,China,79,192,8,5.0,Asia
37,Colombia,159,76,3,4.2,South America
38,Comoros,1,3,1,0.1,Africa
39,Congo,76,1,9,1.7,Africa
40,Cook Islands,0,254,74,5.9,Oceania
41,Costa Rica,149,87,11,4.4,North America
42,Croatia,230,87,254,10.2,Europe
43,Cuba,93,137,5,4.2,North America
44,Cyprus,192,154,113,8.2,Europe
45,Czech Republic,361,170,134,11.8,Europe
46,North Korea,0,0,0,0.0,Asia
47,DR Congo,32,3,1,2.3,Africa
48,Denmark,224,81,278,10.4,Europe
49,Djibouti,15,44,3,1.1,Africa
50,Dominica,52,286,26,6.6,North America
51,Dominican Republic,193,147,9,6.2,North America
52,Ecuador,162,74,3,4.2,South America
53,Egypt,6,4,1,0.2,Africa
54,El Salvador,52,69,2,2.2,North America
55,Equatorial Guinea,92,0,233,5.8,Africa
56,Eritrea,18,0,0,0.5,Africa
57,Estonia,224,194,59,9.5,Europe
58,Ethiopia,20,3,0,0.7,Africa
59,Fiji,77,35,1,2.0,Oceania
60,Finland,263,133,97,10.0,Europe
61,France,127,151,370,11.8,Europe
62,Gabon,347,98,59,8.9,Africa
63,Gambia,8,0,1,2.4,Africa
64,Georgia,52,100,149,5.4,Europe
65,Germany,346,117,175,11.3,Europe
66,Ghana,31,3,10,1.8,Africa
67,Greece,133,112,218,8.3,Europe
68,Grenada,199,438,28,11.9,North America
69,Guatemala,53,69,2,2.2,North America
70,Guinea,9,0,2,0.2,Africa
71,Guinea-Bissau,28,31,21,2.5,Africa
72,Guyana,93,302,1,7.1,South America
73,Haiti,1,326,1,5.9,North America
74,Honduras,69,98,2,3.0,North America
75,Hungary,234,215,185,11.3,Europe
76,Iceland,233,61,78,6.6,Europe
77,India,9,114,0,2.2,Asia
78,Indonesia,5,1,0,0.1,Asia
79,Iran,0,0,0,0.0,Asia
80,Iraq,9,3,0,0.2,Asia
81,Ireland,313,118,165,11.4,Europe
82,Israel,63,69,9,2.5,Asia
83,Italy,85,42,237,6.5,Europe
84,Jamaica,82,97,9,3.4,North America
85,Japan,77,202,16,7.0,Asia
86,Jordan,6,21,1,0.5,Asia
87,Kazakhstan,124,246,12,6.8,Asia
88,Kenya,58,22,2,1.8,Africa
89,Kiribati,21,34,1,1.0,Oceania
90,Kuwait,0,0,0,0.0,Asia
91,Kyrgyzstan,31,97,6,2.4,Asia
92,Laos,62,0,123,6.2,Asia
93,Latvia,281,216,62,10.5,Europe
94,Lebanon,20,55,31,1.9,Asia
95,Lesotho,82,29,0,2.8,Africa
96,Liberia,19,152,2,3.1,Africa
97,Libya,0,0,0,0.0,Africa
98,Lithuania,343,244,56,12.9,Europe
99,Luxembourg,236,133,271,11.4,Europe
100,Madagascar,26,15,4,0.8,Africa
101,Malawi,8,11,1,1.5,Africa
102,Malaysia,13,4,0,0.3,Asia
103,Maldives,0,0,0,0.0,Asia
104,Mali,5,1,1,0.6,Africa
105,Malta,149,100,120,6.6,Europe
106,Marshall Islands,0,0,0,0.0,Oceania
107,Mauritania,0,0,0,0.0,Africa
108,Mauritius,98,31,18,2.6,Africa
109,Mexico,238,68,5,5.5,North America
110,Micronesia,62,50,18,2.3,Oceania
111,Monaco,0,0,0,0.0,Europe
112,Mongolia,77,189,8,4.9,Asia
113,Montenegro,31,114,128,4.9,Europe
114,Morocco,12,6,10,0.5,Africa
115,Mozambique,47,18,5,1.3,Africa
116,Myanmar,5,1,0,0.1,Asia
117,Namibia,376,3,1,6.8,Africa
118,Nauru,49,0,8,1.0,Oceania
119,Nepal,5,6,0,0.2,Asia
120,Netherlands,251,88,190,9.4,Europe
121,New Zealand,203,79,175,9.3,Oceania
122,Nicaragua,78,118,1,3.5,North America
123,Niger,3,2,1,0.1,Africa
124,Nigeria,42,5,2,9.1,Africa
125,Niue,188,200,7,7.0,Oceania
126,Norway,169,71,129,6.7,Europe
127,Oman,22,16,1,0.7,Asia
128,Pakistan,0,0,0,0.0,Asia
129,Palau,306,63,23,6.9,Oceania
130,Panama,285,104,18,7.2,North America
131,Papua New Guinea,44,39,1,1.5,Oceania
132,Paraguay,213,117,74,7.3,South America
133,Peru,163,160,21,6.1,South America
134,Philippines,71,186,1,4.6,Asia
135,Poland,343,215,56,10.9,Europe
136,Portugal,194,67,339,11.0,Europe
137,Qatar,1,42,7,0.9,Asia
138,South Korea,140,16,9,9.8,Asia
139,Moldova,109,226,18,6.3,Europe
140,Romania,297,122,167,10.4,Europe
141,Russian Federation,247,326,73,11.5,Asia
142,Rwanda,43,2,0,6.8,Africa
143,St. Kitts & Nevis,194,205,32,7.7,North America
144,St. Lucia,171,315,71,10.1,North America
145,St. Vincent & the Grenadines,120,221,11,6.3,North America
146,Samoa,105,18,24,2.6,Oceania
147,San Marino,0,0,0,0.0,Europe
148,Sao Tome & Principe,56,38,140,4.2,Africa
149,Saudi Arabia,0,5,0,0.1,Asia
150,Senegal,9,1,7,0.3,Africa
151,Serbia,283,131,127,9.6,Europe
152,Seychelles,157,25,51,4.1,Africa
153,Sierra Leone,25,3,2,6.7,Africa
154,Singapore,60,12,11,1.5,Asia
155,Slovakia,196,293,116,11.4,Europe
